USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  43952 17316 ?        Ss   Apr05   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root         171  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-kthrotld]
root         172  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/120-pciehp]
root         174  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-acpi_thermal_pm]
root         176  0.0  0.0      0     0 ?        S    Apr05   0:00 [hwrng]
root         181  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_0]
root         182  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_0]
root         183  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_1]
root         184  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_1]
root         185  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_2]
root         186  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_2]
root         187  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_3]
root         188  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_3]
root         189  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_4]
root         190  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_4]
root         191  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_5]
root         192  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_5]
root         193  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_6]
root         194  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_6]
root         195  0.0  0.0      0     0 ?        S    Apr05   0:00 [scsi_eh_7]
root         196  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-scsi_tmf_7]
root         204  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-hfi-updates]
root         205  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-dm_bufio_cache]
root         207  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-mld]
root         208  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-ipv6_addrconf]
root         209  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/8:1H-kblockd]
root         210  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-kstrp]
root         296  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/0:1H-kblockd]
root         300  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/18:1H-kblockd]
root         302  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/12:1H-kblockd]
root         303  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/4:1H-kblockd]
root         344  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/15:1H-kblockd]
root         347  0.0  0.0      0     0 ?        I<   Apr05   0:01 [kworker/7:1H-kblockd]
root         348  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/19:1H-kblockd]
root         352  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/10:1H-kblockd]
root         363  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/2:1H-kblockd]
root         369  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/13:1H-kblockd]
root         371  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/6:1H-kblockd]
root         390  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/14:1H-kblockd]
root         440  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/16:1H-i915_cleanup]
root         478  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/9:1H-events_highpri]
root         535  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/11:1H-i915_cleanup]
root         536  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/5:1H-kblockd]
root         537  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/1:1H-kblockd]
root         538  0.0  0.0      0     0 ?        I<   Apr05   0:04 [kworker/3:1H-i915_cleanup]
root         544  0.1  0.0      0     0 ?        S    Apr05   1:01 [irq/132-GXTP5100:00]
root         556  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-nvme-wq]
root         557  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-nvme-reset-wq]
root         558  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-nvme-delete-wq]
root         559  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-nvme-auth-wq]
root         562  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-USBC000:00-con1]
root         574  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-worker]
root         575  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-delalloc]
root         576  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-flush_delalloc]
root         577  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-cache]
root         578  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-fixup]
root         579  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-endio]
root         580  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-endio-meta]
